xcoord	xcoord	ycoord	lab	tumor	tumor_id
C2_24.97_8.916	24.97	8.916	L1	tumor	T0
C2_23.988_8.924	23.988000000000003	8.924	L2	non	non
C2_25.97_8.938	25.97	8.937999999999999	L3	tumor	T0
C2_23.018_9.897	23.018	9.897	L4	tumor	T0
C2_25.997_9.893	25.997	9.892999999999999	L5	tumor	T0
C2_23.968_9.915	23.968000000000004	9.915	L6	non	non
C2_24.975_9.902	24.975	9.902000000000001	L7	tumor	T0
C2_20.871_10.85	20.871	10.85	L8	tumor	T0
C2_18.913_10.859	18.913	10.859000000000002	L9	tumor	T0
C2_21.882_10.862	21.881999999999998	10.862	L10	tumor	T0
C2_17.88_10.871	17.88	10.870999999999999	L11	tumor	T0
C2_25.994_10.883	25.994	10.883	L12	tumor	T0
C2_23.048_10.906	23.048000000000002	10.905999999999999	L13	tumor	T0
C2_24.986_10.907	24.986	10.907	L14	tumor	T0
C2_23.986_10.915	23.986	10.915	L15	non	non
C2_21.906_11.847	21.906	11.847000000000001	L16	tumor	T0
C2_20.873_11.857	20.873	11.857000000000001	L17	tumor	T0
C2_14.96_11.871	14.96	11.870999999999999	L18	tumor	T0
C2_19.966_11.868	19.965999999999998	11.868	L19	tumor	T0
C2_25.981_11.874	25.980999999999998	11.874	L20	tumor	T0
C2_15.873_11.874	15.873	11.874	L21	tumor	T0
C2_18.914_11.872	18.914	11.872	L22	tumor	T0
C2_17.877_11.884	17.877	11.884	L23	tumor	T0
C2_16.868_11.884	16.868	11.884	L24	tumor	T0
C2_24.954_11.888	24.954	11.888	L25	tumor	T0
C2_23.996_11.887	23.996	11.887	L26	tumor	T0
C2_23.042_11.904	23.041999999999998	11.904000000000002	L27	tumor	T0
C2_20.868_12.843	20.868000000000002	12.843	L28	tumor	T0
C2_21.903_12.857	21.903000000000002	12.857000000000001	L29	tumor	T0
C2_19.976_12.874	19.976	12.874	L30	tumor	T0
C2_23.023_12.891	23.023000000000003	12.890999999999998	L31	tumor	T0
C2_23.985_12.895	23.985	12.895	L32	tumor	T0
C2_25.986_12.894	25.986	12.894	L33	tumor	T0
C2_15.899_12.892	15.899000000000001	12.892000000000001	L34	tumor	T0
C2_17.882_12.89	17.882	12.89	L35	tumor	T0
C2_24.97_12.902	24.97	12.902000000000001	L36	non	non
C2_14.956_12.914	14.956	12.914000000000001	L37	tumor	T0
C2_18.923_12.903	18.923	12.902999999999999	L38	tumor	T0
C2_16.872_12.903	16.872	12.902999999999999	L39	tumor	T0
C2_13.92_12.978	13.92	12.978	L40	tumor	T0
C2_10.856_13.852	10.856	13.852	L41	tumor	T0
C2_9.851_13.854	9.851	13.854000000000001	L42	tumor	T0
C2_21.919_13.867	21.919	13.867	L43	tumor	T0
C2_18.904_13.865	18.904	13.865	L44	tumor	T0
C2_13.964_13.888	13.964	13.888	L45	tumor	T0
C2_8.929_13.888	8.929	13.888	L46	tumor	T0
C2_19.961_13.882	19.961	13.882	L47	tumor	T0
C2_20.886_13.875	20.886	13.875	L48	tumor	T0
C2_17.899_13.889	17.899	13.889000000000001	L49	tumor	T0
C2_23.038_13.901	23.038	13.901	L50	tumor	T0
C2_25.998_13.89	25.998	13.89	L51	tumor	T0
C2_16.872_13.898	16.872	13.898	L52	tumor	T0
C2_14.95_13.903	14.95	13.902999999999999	L53	tumor	T0
C2_24_13.906	24.0	13.905999999999999	L54	tumor	T0
C2_15.872_13.898	15.872	13.898	L55	tumor	T0
C2_24.974_13.917	24.974	13.917	L56	tumor	T0
C2_12.957_13.929	12.957	13.929	L57	tumor	T0
C2_11.996_13.942	11.995999999999999	13.942	L58	tumor	T0
C2_21.931_14.85	21.930999999999997	14.85	L59	tumor	T0
C2_20.855_14.864	20.855	14.864	L60	tumor	T0
C2_25.929_14.898	25.929000000000002	14.898	L61	tumor	T0
C2_10.851_14.903	10.850999999999999	14.902999999999999	L62	tumor	T0
C2_13.911_14.905	13.911	14.905	L63	tumor	T0
C2_9.853_14.896	9.853	14.895999999999999	L64	tumor	T0
C2_19.984_14.896	19.984	14.895999999999999	L65	tumor	T0
C2_15.894_14.897	15.894	14.897	L66	tumor	T0
C2_18.898_14.901	18.898	14.901	L67	tumor	T0
C2_16.856_14.898	16.855999999999998	14.898	L68	tumor	T0
C2_23.021_14.913	23.021	14.913	L69	tumor	T0
C2_17.891_14.903	17.891	14.902999999999999	L70	tumor	T0
C2_24_14.908	24.0	14.908	L71	tumor	T0
C2_8.93_14.917	8.93	14.917	L72	tumor	T0
C2_11.991_14.922	11.991	14.922	L73	tumor	T0
C2_14.96_14.919	14.96	14.919	L74	tumor	T0
C2_24.988_14.924	24.988000000000003	14.924000000000001	L75	tumor	T0
C2_7.87_14.927	7.87	14.927	L76	tumor	T0
C2_12.926_14.935	12.925999999999998	14.935	L77	tumor	T0
C2_21.926_15.881	21.926	15.880999999999998	L78	tumor	T0
C2_20.892_15.878	20.892	15.878	L79	tumor	T0
C2_17.911_15.887	17.910999999999998	15.887	L80	tumor	T0
C2_23.047_15.901	23.046999999999997	15.901	L81	tumor	T0
C2_10.864_15.9	10.864	15.9	L82	non	non
C2_9.845_15.891	9.845	15.890999999999998	L83	non	non
C2_26.931_15.889	26.930999999999997	15.889000000000001	L84	tumor	T0
C2_18.902_15.901	18.902	15.901	L85	tumor	T0
C2_19.98_15.897	19.98	15.897	L86	tumor	T0
C2_7.862_15.91	7.862	15.91	L87	tumor	T0
C2_15.883_15.91	15.883	15.91	L88	tumor	T0
C2_25.015_15.918	25.015	15.918	L89	tumor	T0
C2_25.991_15.906	25.991	15.905999999999999	L90	tumor	T0
C2_14.954_15.919	14.954	15.919	L91	tumor	T0
C2_4.843_15.924	4.843	15.924000000000001	L92	tumor	T0
C2_8.937_15.914	8.937000000000001	15.914000000000001	L93	tumor	T0
C2_13.922_15.927	13.922	15.927	L94	tumor	T0
C2_12.962_15.94	12.962	15.94	L95	tumor	T0
C2_23.987_15.952	23.987	15.952	L96	tumor	T0
C2_16.861_15.939	16.861	15.939	L97	tumor	T0
C2_11.991_15.957	11.991	15.957	L98	tumor	T0
C2_5.766_15.962	5.766	15.962	L99	tumor	T0
C2_20.904_16.875	20.904	16.875	L100	tumor	T0
C2_26.952_16.873	26.951999999999998	16.873	L101	tumor	T0
C2_21.946_16.888	21.945999999999998	16.887999999999998	L102	tumor	T0
C2_10.869_16.903	10.869000000000002	16.903	L103	tumor	T0
C2_9.853_16.894	9.853	16.894000000000002	L104	tumor	T0
C2_23.042_16.917	23.041999999999998	16.917	L105	tumor	T0
C2_7.882_16.914	7.882000000000001	16.914	L106	tumor	T0
C2_19.984_16.911	19.984	16.910999999999998	L107	tumor	T0
C2_26.02_16.91	26.02	16.91	L108	tumor	T0
C2_4.833_16.919	4.833	16.919	L109	tumor	T0
C2_15.876_16.915	15.876	16.915	L110	tumor	T0
C2_3.906_16.935	3.906	16.935	L111	tumor	T0
C2_24.997_16.928	24.997	16.928	L112	tumor	T0
C2_5.81_16.928	5.81	16.928	L113	tumor	T0
C2_8.937_16.917	8.937000000000001	16.917	L114	tumor	T0
C2_17.903_16.931	17.903	16.930999999999997	L115	tumor	T0
C2_23.996_16.924	23.996	16.924	L116	tumor	T0
C2_6.848_16.936	6.848	16.936	L117	tumor	T0
C2_14.986_16.938	14.985999999999999	16.938	L118	tumor	T0
C2_11.97_16.946	11.97	16.945999999999998	L119	tumor	T0
C2_18.927_16.936	18.927	16.936	L120	tumor	T0
C2_16.871_16.941	16.871	16.941	L121	tumor	T0
C2_12.968_16.952	12.968	16.952	L122	tumor	T0
C2_13.931_16.952	13.931	16.952	L123	tumor	T0
C2_21.922_17.866	21.921999999999997	17.866	L124	tumor	T0
C2_20.907_17.864	20.906999999999996	17.864	L125	tumor	T0
C2_10.879_17.894	10.879000000000001	17.894000000000002	L126	tumor	T0
C2_19.992_17.888	19.992	17.887999999999998	L127	tumor	T0
C2_27.935_17.904	27.935	17.904	L128	tumor	T0
C2_26.944_17.903	26.944000000000003	17.903	L129	tumor	T0
C2_15.911_17.909	15.911	17.909000000000002	L130	tumor	T0
C2_4.84_17.912	4.84	17.912	L131	tumor	T0
C2_18.928_17.928	18.928	17.928	L132	tumor	T0
C2_23.039_17.937	23.039	17.937	L133	tumor	T0
C2_8.958_17.926	8.958	17.926	L134	tumor	T0
C2_14.942_17.93	14.942	17.93	L135	tumor	T0
C2_16.885_17.929	16.885	17.929000000000002	L136	tumor	T0
C2_7.865_17.952	7.865	17.952	L137	tumor	T0
C2_3.907_17.942	3.907	17.942	L138	tumor	T0
C2_6.865_17.945	6.865	17.945	L139	tumor	T0
C2_12.979_17.946	12.979000000000001	17.945999999999998	L140	tumor	T0
C2_24.013_17.935	24.013	17.935	L141	tumor	T0
C2_12.008_17.958	12.008	17.958	L142	tumor	T0
C2_24.993_17.955	24.993000000000002	17.955	L143	tumor	T0
C2_13.929_17.957	13.929	17.957	L144	tumor	T0
C2_25.963_17.967	25.963	17.967	L145	tumor	T0
C2_9.842_17.992	9.842	17.992	L146	tumor	T0
C2_20.904_18.831	20.904	18.831	L147	tumor	T0
C2_10.895_18.883	10.895	18.883	L148	tumor	T0
C2_25.145_18.89	25.145	18.89	L149	tumor	T0
C2_15.901_18.882	15.901	18.882	L150	tumor	T0
C2_9.861_18.9	9.861	18.9	L151	tumor	T0
C2_21.932_18.898	21.932	18.898	L152	tumor	T0
C2_25.973_18.897	25.973000000000003	18.897000000000002	L153	tumor	T0
C2_26.949_18.893	26.949	18.893	L154	tumor	T0
C2_19.989_18.91	19.989	18.91	L155	tumor	T0
C2_27.931_18.898	27.930999999999997	18.898	L156	tumor	T0
C2_17.891_18.911	17.891	18.910999999999998	L157	tumor	T0
C2_14.972_18.919	14.972000000000001	18.919	L158	tumor	T0
C2_23.052_18.917	23.052	18.917	L159	tumor	T0
C2_18.933_18.923	18.933	18.923	L160	tumor	T0
C2_8.936_18.91	8.936	18.91	L161	tumor	T0
C2_16.876_18.921	16.875999999999998	18.921	L162	tumor	T0
C2_23.972_18.934	23.971999999999998	18.934	L163	tumor	T0
C2_12.011_18.942	12.011	18.942	L164	tumor	T0
C2_7.881_18.931	7.881	18.930999999999997	L165	tumor	T0
C2_4.835_18.936	4.835	18.936	L166	tumor	T0
C2_12.952_18.952	12.952	18.952	L167	tumor	T0
C2_6.879_18.944	6.879	18.944000000000003	L168	tumor	T0
C2_13.951_18.962	13.950999999999999	18.962	L169	tumor	T0
C2_5.824_18.978	5.824	18.977999999999998	L170	tumor	T0
C2_20.895_19.901	20.895	19.901	L171	tumor	T0
C2_21.919_19.917	21.919	19.917	L172	tumor	T0
C2_26.945_19.92	26.945	19.92	L173	tumor	T0
C2_27.941_19.923	27.941	19.923	L174	tumor	T0
C2_15.887_19.912	15.887	19.912	L175	non	non
C2_23.087_19.926	23.087	19.926	L176	tumor	T0
C2_10.897_19.93	10.897	19.93	L177	tumor	T0
C2_18.938_19.937	18.938	19.937	L178	tumor	T0
C2_19.989_19.924	19.989	19.924	L179	tumor	T0
C2_8.926_19.943	8.926	19.942999999999998	L180	non	non
C2_16.891_19.941	16.891	19.941	L181	tumor	T0
C2_25.008_19.953	25.008000000000003	19.953	L182	tumor	T0
C2_26.093_19.953	26.093000000000004	19.953	L183	tumor	T0
C2_5.835_19.961	5.835	19.961	L184	tumor	T0
C2_12.03_19.966	12.03	19.965999999999998	L185	tumor	T0
C2_14.954_19.946	14.954	19.945999999999998	L186	tumor	T0
