xcoord	xcoord	ycoord	lab	tumor	tumor_id
E1_22_10	22	10	L1	tumor	T0
E1_21_10	21	10	L2	tumor	T0
E1_20_10	20	10	L3	tumor	T0
E1_23_10	23	10	L4	tumor	T0
E1_22_11	22	11	L5	tumor	T0
E1_16_11	16	11	L6	tumor	T0
E1_19_11	19	11	L7	tumor	T0
E1_21_11	21	11	L8	tumor	T0
E1_15_11	15	11	L9	tumor	T0
E1_13_11	13	11	L10	tumor	T0
E1_20_11	20	11	L11	tumor	T0
E1_18_11	18	11	L12	tumor	T0
E1_17_11	17	11	L13	tumor	T0
E1_23_11	23	11	L14	tumor	T0
E1_14_11	14	11	L15	tumor	T0
E1_21_12	21	12	L16	tumor	T0
E1_18_12	18	12	L17	tumor	T0
E1_22_12	22	12	L18	tumor	T0
E1_11_12	11	12	L19	tumor	T0
E1_19_12	19	12	L20	tumor	T0
E1_20_12	20	12	L21	tumor	T0
E1_16_12	16	12	L22	tumor	T0
E1_24_12	24	12	L23	tumor	T0
E1_14_12	14	12	L24	tumor	T0
E1_15_12	15	12	L25	tumor	T0
E1_17_12	17	12	L26	tumor	T0
E1_12_12	12	12	L27	tumor	T0
E1_23_12	23	12	L28	tumor	T0
E1_13_12	13	12	L29	tumor	T0
E1_11_13	11	13	L30	tumor	T0
E1_22_13	22	13	L31	tumor	T0
E1_21_13	21	13	L32	tumor	T0
E1_16_13	16	13	L33	tumor	T0
E1_19_13	19	13	L34	tumor	T0
E1_10_13	10	13	L35	tumor	T0
E1_9_13	9	13	L36	tumor	T0
E1_18_13	18	13	L37	tumor	T0
E1_20_13	20	13	L38	tumor	T0
E1_12_13	12	13	L39	tumor	T0
E1_23_13	23	13	L40	tumor	T0
E1_14_13	14	13	L41	tumor	T0
E1_15_13	15	13	L42	tumor	T0
E1_13_13	13	13	L43	tumor	T0
E1_17_13	17	13	L44	tumor	T0
E1_24_13	24	13	L45	tumor	T0
E1_11_14	11	14	L46	tumor	T0
E1_22_14	22	14	L47	tumor	T0
E1_21_14	21	14	L48	tumor	T0
E1_10_14	10	14	L49	tumor	T0
E1_16_14	16	14	L50	tumor	T0
E1_20_14	20	14	L51	tumor	T0
E1_18_14	18	14	L52	tumor	T0
E1_25_14	25	14	L53	tumor	T0
E1_19_14	19	14	L54	tumor	T0
E1_17_14	17	14	L55	tumor	T0
E1_15_14	15	14	L56	tumor	T0
E1_23_14	23	14	L57	tumor	T0
E1_24_14	24	14	L58	tumor	T0
E1_9_14	9	14	L59	tumor	T0
E1_12_14	12	14	L60	tumor	T0
E1_14_14	14	14	L61	tumor	T0
E1_13_14	13	14	L62	tumor	T0
E1_21_15	21	15	L63	tumor	T0
E1_22_15	22	15	L64	tumor	T0
E1_11_15	11	15	L65	tumor	T0
E1_10_15	10	15	L66	tumor	T0
E1_19_15	19	15	L67	tumor	T0
E1_17_15	17	15	L68	tumor	T0
E1_14_15	14	15	L69	tumor	T0
E1_20_15	20	15	L70	tumor	T0
E1_25_15	25	15	L71	tumor	T0
E1_13_15	13	15	L72	tumor	T0
E1_16_15	16	15	L73	tumor	T0
E1_18_15	18	15	L74	tumor	T0
E1_23_15	23	15	L75	tumor	T0
E1_12_15	12	15	L76	tumor	T0
E1_24_15	24	15	L77	tumor	T0
E1_8_15	8	15	L78	tumor	T0
E1_15_15	15	15	L79	tumor	T0
E1_9_15	9	15	L80	tumor	T0
E1_22_16	22	16	L81	tumor	T0
E1_21_16	21	16	L82	tumor	T0
E1_11_16	11	16	L83	tumor	T0
E1_10_16	10	16	L84	tumor	T0
E1_16_16	16	16	L85	tumor	T0
E1_20_16	20	16	L86	tumor	T0
E1_9_16	9	16	L87	tumor	T0
E1_18_16	18	16	L88	tumor	T0
E1_19_16	19	16	L89	tumor	T0
E1_8_16	8	16	L90	tumor	T0
