xcoord	xcoord	ycoord	lab	tumor	tumor_id
E2_27_9	27	9	L1	tumor	T0
E2_25_9	25	9	L2	tumor	T0
E2_24_9	24	9	L3	tumor	T0
E2_26_9	26	9	L4	tumor	T0
E2_22_10	22	10	L5	tumor	T0
E2_21_10	21	10	L6	tumor	T0
E2_15_10	15	10	L7	tumor	T0
E2_20_10	20	10	L8	tumor	T0
E2_19_10	19	10	L9	tumor	T0
E2_18_10	18	10	L10	tumor	T0
E2_27_10	27	10	L11	tumor	T0
E2_16_10	16	10	L12	tumor	T0
E2_17_10	17	10	L13	tumor	T0
E2_24_10	24	10	L14	tumor	T0
E2_25_10	25	10	L15	tumor	T0
E2_26_10	26	10	L16	tumor	T0
E2_23_10	23	10	L17	tumor	T0
E2_27_11	27	11	L18	tumor	T0
E2_22_11	22	11	L19	tumor	T0
E2_19_11	19	11	L20	tumor	T0
E2_21_11	21	11	L21	tumor	T0
E2_18_11	18	11	L22	tumor	T0
E2_16_11	16	11	L23	tumor	T0
E2_28_11	28	11	L24	tumor	T0
E2_20_11	20	11	L25	tumor	T0
E2_24_11	24	11	L26	tumor	T0
E2_17_11	17	11	L27	tumor	T0
E2_23_11	23	11	L28	tumor	T0
E2_26_11	26	11	L29	tumor	T0
E2_14_11	14	11	L30	tumor	T0
E2_25_11	25	11	L31	tumor	T0
E2_15_11	15	11	L32	tumor	T0
E2_21_12	21	12	L33	tumor	T0
E2_25_12	25	12	L34	tumor	T0
E2_22_12	22	12	L35	tumor	T0
E2_20_12	20	12	L36	tumor	T0
E2_16_12	16	12	L37	tumor	T0
E2_26_12	26	12	L38	tumor	T0
E2_15_12	15	12	L39	tumor	T0
E2_19_12	19	12	L40	tumor	T0
E2_23_12	23	12	L41	tumor	T0
E2_24_12	24	12	L42	tumor	T0
E2_17_12	17	12	L43	tumor	T0
E2_27_12	27	12	L44	tumor	T0
E2_14_12	14	12	L45	tumor	T0
E2_18_12	18	12	L46	tumor	T0
E2_13_12	13	12	L47	tumor	T0
E2_28_12	28	12	L48	tumor	T0
E2_21_13	21	13	L49	tumor	T0
E2_22_13	22	13	L50	tumor	T0
E2_27_13	27	13	L51	tumor	T0
E2_19_13	19	13	L52	tumor	T0
E2_20_13	20	13	L53	tumor	T0
E2_28_13	28	13	L54	tumor	T0
E2_18_13	18	13	L55	tumor	T0
E2_16_13	16	13	L56	tumor	T0
E2_24_13	24	13	L57	tumor	T0
E2_17_13	17	13	L58	tumor	T0
E2_26_13	26	13	L59	tumor	T0
E2_13_13	13	13	L60	tumor	T0
E2_15_13	15	13	L61	tumor	T0
E2_23_13	23	13	L62	tumor	T0
E2_12_13	12	13	L63	tumor	T0
E2_14_13	14	13	L64	tumor	T0
E2_25_13	25	13	L65	tumor	T0
E2_22_14	22	14	L66	tumor	T0
E2_21_14	21	14	L67	tumor	T0
E2_11_14	11	14	L68	tumor	T0
E2_20_14	20	14	L69	tumor	T0
E2_19_14	19	14	L70	tumor	T0
E2_16_14	16	14	L71	tumor	T0
E2_29_14	29	14	L72	tumor	T0
E2_24_14	24	14	L73	tumor	T0
E2_27_14	27	14	L74	tumor	T0
E2_28_14	28	14	L75	tumor	T0
E2_15_14	15	14	L76	tumor	T0
E2_23_14	23	14	L77	tumor	T0
E2_26_14	26	14	L78	tumor	T0
E2_12_14	12	14	L79	tumor	T0
E2_17_14	17	14	L80	tumor	T0
E2_18_14	18	14	L81	tumor	T0
E2_25_14	25	14	L82	tumor	T0
E2_13_14	13	14	L83	tumor	T0
E2_14_14	14	14	L84	tumor	T0
E2_10_15	10	15	L85	tumor	T0
E2_21_15	21	15	L86	tumor	T0
E2_22_15	22	15	L87	tumor	T0
E2_11_15	11	15	L88	tumor	T0
E2_15_15	15	15	L89	tumor	T0
E2_19_15	19	15	L90	tumor	T0
E2_23_15	23	15	L91	tumor	T0
E2_27_15	27	15	L92	tumor	T0
E2_18_15	18	15	L93	tumor	T0
E2_29_15	29	15	L94	tumor	T0
E2_25_15	25	15	L95	tumor	T0
E2_16_15	16	15	L96	tumor	T0
E2_24_15	24	15	L97	tumor	T0
E2_13_15	13	15	L98	tumor	T0
E2_26_15	26	15	L99	tumor	T0
E2_14_15	14	15	L100	tumor	T0
E2_17_15	17	15	L101	tumor	T0
E2_12_15	12	15	L102	tumor	T0
E2_20_15	20	15	L103	tumor	T0
E2_28_15	28	15	L104	tumor	T0
E2_19_16	19	16	L105	tumor	T0
E2_22_16	22	16	L106	tumor	T0
E2_30_16	30	16	L107	tumor	T0
E2_10_16	10	16	L108	tumor	T0
E2_21_16	21	16	L109	tumor	T0
E2_27_16	27	16	L110	tumor	T0
E2_11_16	11	16	L111	tumor	T0
E2_18_16	18	16	L112	tumor	T0
E2_26_16	26	16	L113	tumor	T0
E2_17_16	17	16	L114	tumor	T0
E2_20_16	20	16	L115	tumor	T0
E2_16_16	16	16	L116	tumor	T0
E2_29_16	29	16	L117	tumor	T0
E2_12_16	12	16	L118	tumor	T0
E2_14_16	14	16	L119	tumor	T0
E2_24_16	24	16	L120	tumor	T0
E2_13_16	13	16	L121	tumor	T0
E2_25_16	25	16	L122	tumor	T0
E2_28_16	28	16	L123	tumor	T0
E2_15_16	15	16	L124	tumor	T0
E2_23_16	23	16	L125	tumor	T0
E2_11_17	11	17	L126	tumor	T0
E2_30_17	30	17	L127	tumor	T0
E2_10_17	10	17	L128	tumor	T0
E2_23_17	23	17	L129	tumor	T0
E2_20_17	20	17	L130	tumor	T0
E2_22_17	22	17	L131	tumor	T0
E2_27_17	27	17	L132	tumor	T0
E2_21_17	21	17	L133	tumor	T0
E2_24_17	24	17	L134	tumor	T0
E2_15_17	15	17	L135	tumor	T0
E2_16_17	16	17	L136	tumor	T0
E2_18_17	18	17	L137	tumor	T0
E2_14_17	14	17	L138	tumor	T0
E2_26_17	26	17	L139	tumor	T0
E2_28_17	28	17	L140	tumor	T0
E2_19_17	19	17	L141	tumor	T0
E2_29_17	29	17	L142	tumor	T0
E2_13_17	13	17	L143	tumor	T0
E2_17_17	17	17	L144	tumor	T0
E2_25_17	25	17	L145	tumor	T0
E2_12_17	12	17	L146	tumor	T0
E2_11_18	11	18	L147	tumor	T0
