xcoord	xcoord	ycoord	lab	tumor	tumor_id
D2_27_15	27	15	L1	tumor	T0
D2_29_15	29	15	L2	tumor	T0
D2_21_15	21	15	L3	tumor	T0
D2_26_15	26	15	L4	tumor	T0
D2_25_15	25	15	L5	tumor	T0
D2_22_16	22	16	L6	tumor	T0
D2_20_16	20	16	L7	tumor	T0
D2_29_16	29	16	L8	tumor	T0
D2_27_16	27	16	L9	tumor	T0
D2_21_16	21	16	L10	tumor	T0
D2_17_16	17	16	L11	tumor	T0
D2_16_16	16	16	L12	tumor	T0
D2_18_16	18	16	L13	tumor	T0
D2_26_16	26	16	L14	tumor	T0
D2_19_16	19	16	L15	tumor	T0
D2_28_16	28	16	L16	tumor	T0
D2_25_16	25	16	L17	tumor	T0
D2_23_16	23	16	L18	tumor	T0
D2_24_16	24	16	L19	tumor	T0
D2_20_17	20	17	L20	tumor	T0
D2_27_17	27	17	L21	tumor	T0
D2_29_17	29	17	L22	tumor	T0
D2_22_17	22	17	L23	tumor	T0
D2_23_17	23	17	L24	tumor	T0
D2_16_17	16	17	L25	tumor	T0
D2_11_17	11	17	L26	tumor	T0
D2_17_17	17	17	L27	tumor	T0
D2_24_17	24	17	L28	tumor	T0
D2_25_17	25	17	L29	tumor	T0
D2_26_17	26	17	L30	tumor	T0
D2_9_17	9	17	L31	tumor	T0
D2_18_17	18	17	L32	tumor	T0
D2_28_17	28	17	L33	tumor	T0
D2_19_17	19	17	L34	tumor	T0
D2_8_17	8	17	L35	tumor	T0
D2_21_17	21	17	L36	tumor	T0
D2_10_17	10	17	L37	tumor	T0
D2_15_17	15	17	L38	tumor	T0
D2_7_17	7	17	L39	tumor	T0
D2_14_17	14	17	L40	tumor	T0
D2_6_17	6	17	L41	tumor	T0
D2_12_17	12	17	L42	tumor	T0
D2_22_18	22	18	L43	tumor	T0
D2_29_18	29	18	L44	tumor	T0
D2_18_18	18	18	L45	tumor	T0
D2_28_18	28	18	L46	tumor	T0
D2_20_18	20	18	L47	tumor	T0
D2_11_18	11	18	L48	tumor	T0
D2_23_18	23	18	L49	tumor	T0
D2_13_18	13	18	L50	tumor	T0
D2_17_18	17	18	L51	tumor	T0
D2_19_18	19	18	L52	tumor	T0
D2_25_18	25	18	L53	tumor	T0
D2_9_18	9	18	L54	tumor	T0
D2_24_18	24	18	L55	tumor	T0
D2_27_18	27	18	L56	tumor	T0
D2_10_18	10	18	L57	tumor	T0
D2_8_18	8	18	L58	tumor	T0
