xcoord	xcoord	ycoord	lab	tumor	tumor_id
C1_22_17	22	17	L1	tumor	T0
C1_20_17	20	17	L2	tumor	T0
C1_24_17	24	17	L3	tumor	T0
C1_19_17	19	17	L4	tumor	T0
C1_21_17	21	17	L5	tumor	T0
C1_18_17	18	17	L6	tumor	T0
C1_23_17	23	17	L7	tumor	T0
C1_16_17	16	17	L8	tumor	T0
C1_14_17	14	17	L9	tumor	T0
C1_22_18	22	18	L10	tumor	T0
C1_21_18	21	18	L11	tumor	T0
C1_20_18	20	18	L12	tumor	T0
C1_11_18	11	18	L13	tumor	T0
C1_19_18	19	18	L14	tumor	T0
C1_14_18	14	18	L15	tumor	T0
C1_25_18	25	18	L16	tumor	T0
C1_23_18	23	18	L17	tumor	T0
C1_15_18	15	18	L18	tumor	T0
C1_17_18	17	18	L19	tumor	T0
C1_24_18	24	18	L20	tumor	T0
C1_12_18	12	18	L21	tumor	T0
C1_13_18	13	18	L22	tumor	T0
C1_16_18	16	18	L23	tumor	T0
C1_22_19	22	19	L24	tumor	T0
C1_21_19	21	19	L25	tumor	T0
C1_9_19	9	19	L26	tumor	T0
C1_11_19	11	19	L27	tumor	T0
C1_17_19	17	19	L28	tumor	T0
C1_19_19	19	19	L29	tumor	T0
C1_10_19	10	19	L30	tumor	T0
C1_16_19	16	19	L31	tumor	T0
C1_15_19	15	19	L32	tumor	T0
C1_20_19	20	19	L33	tumor	T0
C1_26_19	26	19	L34	tumor	T0
C1_25_19	25	19	L35	tumor	T0
C1_24_19	24	19	L36	tumor	T0
C1_8_19	8	19	L37	tumor	T0
C1_23_19	23	19	L38	tumor	T0
C1_14_19	14	19	L39	tumor	T0
C1_18_19	18	19	L40	tumor	T0
C1_13_19	13	19	L41	tumor	T0
C1_12_19	12	19	L42	tumor	T0
C1_7_19	7	19	L43	tumor	T0
C1_22_20	22	20	L44	tumor	T0
C1_25_20	25	20	L45	tumor	T0
C1_20_20	20	20	L46	tumor	T0
C1_11_20	11	20	L47	tumor	T0
C1_21_20	21	20	L48	tumor	T0
C1_28_20	28	20	L49	tumor	T0
C1_26_20	26	20	L50	tumor	T0
C1_27_20	27	20	L51	tumor	T0
C1_17_20	17	20	L52	tumor	T0
C1_19_20	19	20	L53	tumor	T0
C1_15_20	15	20	L54	tumor	T0
C1_23_20	23	20	L55	tumor	T0
C1_16_20	16	20	L56	tumor	T0
C1_24_20	24	20	L57	tumor	T0
C1_18_20	18	20	L58	tumor	T0
C1_10_20	10	20	L59	tumor	T0
C1_14_20	14	20	L60	tumor	T0
C1_9_20	9	20	L61	tumor	T0
C1_6_20	6	20	L62	tumor	T0
C1_13_20	13	20	L63	tumor	T0
C1_3_20	3	20	L64	tumor	T0
C1_8_20	8	20	L65	tumor	T0
C1_4_20	4	20	L66	tumor	T0
C1_5_20	5	20	L67	tumor	T0
C1_12_20	12	20	L68	tumor	T0
C1_7_20	7	20	L69	tumor	T0
C1_11_21	11	21	L70	tumor	T0
C1_22_21	22	21	L71	tumor	T0
C1_21_21	21	21	L72	tumor	T0
C1_28_21	28	21	L73	tumor	T0
C1_19_21	19	21	L74	tumor	T0
C1_20_21	20	21	L75	tumor	T0
C1_15_21	15	21	L76	tumor	T0
C1_17_21	17	21	L77	tumor	T0
C1_25_21	25	21	L78	tumor	T0
C1_27_21	27	21	L79	tumor	T0
C1_29_21	29	21	L80	tumor	T0
C1_9_21	9	21	L81	tumor	T0
C1_23_21	23	21	L82	tumor	T0
C1_10_21	10	21	L83	tumor	T0
C1_26_21	26	21	L84	tumor	T0
C1_3_21	3	21	L85	tumor	T0
C1_14_21	14	21	L86	tumor	T0
C1_18_21	18	21	L87	tumor	T0
C1_24_21	24	21	L88	tumor	T0
C1_6_21	6	21	L89	tumor	T0
C1_8_21	8	21	L90	tumor	T0
C1_16_21	16	21	L91	tumor	T0
C1_4_21	4	21	L92	tumor	T0
C1_2_21	2	21	L93	tumor	T0
C1_12_21	12	21	L94	tumor	T0
C1_13_21	13	21	L95	tumor	T0
C1_7_21	7	21	L96	tumor	T0
C1_5_21	5	21	L97	tumor	T0
C1_11_22	11	22	L98	tumor	T0
C1_22_22	22	22	L99	tumor	T0
C1_21_22	21	22	L100	tumor	T0
C1_28_22	28	22	L101	tumor	T0
C1_20_22	20	22	L102	tumor	T0
C1_6_22	6	22	L103	tumor	T0
C1_17_22	17	22	L104	tumor	T0
C1_10_22	10	22	L105	tumor	T0
C1_19_22	19	22	L106	tumor	T0
C1_18_22	18	22	L107	tumor	T0
C1_29_22	29	22	L108	tumor	T0
C1_26_22	26	22	L109	tumor	T0
C1_27_22	27	22	L110	tumor	T0
C1_4_22	4	22	L111	tumor	T0
C1_9_22	9	22	L112	tumor	T0
C1_15_22	15	22	L113	tumor	T0
C1_23_22	23	22	L114	tumor	T0
C1_25_22	25	22	L115	tumor	T0
C1_8_22	8	22	L116	tumor	T0
C1_12_22	12	22	L117	tumor	T0
C1_16_22	16	22	L118	tumor	T0
C1_14_22	14	22	L119	tumor	T0
C1_3_22	3	22	L120	tumor	T0
C1_13_22	13	22	L121	tumor	T0
C1_5_22	5	22	L122	tumor	T0
C1_2_22	2	22	L123	tumor	T0
C1_7_22	7	22	L124	tumor	T0
C1_19_23	19	23	L125	tumor	T0
C1_22_23	22	23	L126	tumor	T0
C1_11_23	11	23	L127	tumor	T0
C1_21_23	21	23	L128	tumor	T0
C1_28_23	28	23	L129	tumor	T0
C1_10_23	10	23	L130	tumor	T0
C1_20_23	20	23	L131	tumor	T0
C1_26_23	26	23	L132	tumor	T0
C1_25_23	25	23	L133	tumor	T0
