xcoord	xcoord	ycoord	lab	tumor	tumor_id
D1_18_13	18	13	L1	non	non
D1_19_13	19	13	L2	non	non
D1_15_14	15	14	L3	non	non
D1_16_14	16	14	L4	non	non
D1_17_14	17	14	L5	non	non
D1_14_15	14	15	L6	non	non
D1_4_15	4	15	L7	non	non
D1_15_15	15	15	L8	non	non
D1_5_15	5	15	L9	non	non
D1_17_15	17	15	L10	non	non
D1_6_15	6	15	L11	non	non
D1_16_15	16	15	L12	non	non
D1_4_16	4	16	L13	non	non
D1_9_16	9	16	L14	non	non
D1_7_16	7	16	L15	non	non
D1_17_16	17	16	L16	non	non
D1_18_16	18	16	L17	non	non
D1_6_16	6	16	L18	non	non
D1_5_16	5	16	L19	non	non
D1_8_17	8	17	L20	non	non
D1_18_17	18	17	L21	non	non
D1_2_17	2	17	L22	non	non
D1_4_17	4	17	L23	non	non
D1_12_17	12	17	L24	non	non
D1_5_17	5	17	L25	non	non
D1_6_17	6	17	L26	non	non
D1_11_18	11	18	L27	non	non
D1_10_18	10	18	L28	non	non
D1_12_18	12	18	L29	non	non
D1_4_18	4	18	L30	non	non
D1_13_18	13	18	L31	non	non
D1_19_18	19	18	L32	non	non
D1_9_18	9	18	L33	non	non
D1_8_18	8	18	L34	non	non
D1_7_18	7	18	L35	non	non
D1_11_19	11	19	L36	non	non
D1_10_19	10	19	L37	non	non
D1_9_19	9	19	L38	non	non
D1_13_19	13	19	L39	non	non
D1_8_19	8	19	L40	non	non
D1_6_19	6	19	L41	non	non
D1_14_19	14	19	L42	non	non
D1_18_19	18	19	L43	non	non
D1_7_19	7	19	L44	non	non
D1_12_19	12	19	L45	non	non
D1_19_19	19	19	L46	non	non
D1_20_19	20	19	L47	non	non
D1_3_19	3	19	L48	non	non
D1_11_20	11	20	L49	non	non
D1_10_20	10	20	L50	non	non
D1_20_20	20	20	L51	non	non
D1_19_20	19	20	L52	non	non
D1_6_20	6	20	L53	non	non
D1_18_20	18	20	L54	non	non
D1_12_20	12	20	L55	non	non
D1_14_20	14	20	L56	non	non
D1_17_20	17	20	L57	non	non
D1_4_20	4	20	L58	non	non
D1_5_20	5	20	L59	non	non
D1_13_20	13	20	L60	non	non
D1_7_20	7	20	L61	non	non
D1_15_20	15	20	L62	non	non
D1_16_20	16	20	L63	non	non
D1_8_20	8	20	L64	non	non
D1_9_20	9	20	L65	non	non
D1_22_21	22	21	L66	non	non
