xcoord	xcoord	ycoord	lab	tumor	tumor_id
D2_15.858_8.97	15.857999999999999	8.97	L1	tumor	T0
D2_13.921_8.99	13.921	8.99	L2	tumor	T0
D2_14.936_8.984	14.936	8.984	L3	tumor	T0
D2_14.934_9.942	14.934000000000001	9.942	L4	tumor	T0
D2_15.875_9.952	15.875	9.952	L5	tumor	T0
D2_16.89_9.971	16.89	9.971	L6	tumor	T0
D2_13.935_9.986	13.935	9.986	L7	non	non
D2_12.964_9.995	12.964	9.995	L8	non	non
D2_12.977_10.968	12.977	10.968	L9	tumor	T0
D2_16.876_10.966	16.875999999999998	10.966	L10	tumor	T0
D2_15.893_10.973	15.892999999999999	10.972999999999999	L11	tumor	T0
D2_14.949_10.98	14.949000000000002	10.98	L12	tumor	T0
D2_13.93_10.994	13.93	10.994000000000002	L13	tumor	T0
D2_17.886_11.947	17.886	11.947000000000001	L14	tumor	T0
D2_12.964_11.949	12.964	11.949000000000002	L15	tumor	T0
D2_15.881_11.955	15.880999999999998	11.955	L16	non	non
D2_16.875_11.952	16.875	11.952	L17	tumor	T0
D2_13.943_11.98	13.943	11.98	L18	non	non
D2_14.945_11.974	14.945	11.974	L19	tumor	T0
D2_18.901_12.94	18.901	12.94	L20	non	non
D2_15.891_12.944	15.890999999999998	12.944	L21	tumor	T0
D2_17.892_12.945	17.892	12.945	L22	tumor	T0
D2_19.946_12.951	19.945999999999998	12.950999999999999	L23	non	non
D2_14.956_12.958	14.956	12.958	L24	tumor	T0
D2_13.947_12.964	13.947000000000001	12.964	L25	non	non
D2_12.968_12.969	12.968	12.969000000000001	L26	tumor	T0
D2_12.024_12.991	12.024000000000001	12.991	L27	tumor	T0
D2_16.862_12.984	16.862000000000002	12.984000000000002	L28	tumor	T0
D2_10.89_13.949	10.89	13.949000000000002	L29	tumor	T0
D2_15.877_13.947	15.877	13.947000000000001	L30	non	non
D2_18.911_13.947	18.910999999999998	13.947000000000001	L31	non	non
D2_19.959_13.948	19.959	13.948	L32	non	non
D2_16.884_13.956	16.884	13.956	L33	tumor	T0
D2_14.948_13.969	14.948	13.969000000000001	L34	tumor	T0
D2_13.959_13.976	13.959000000000001	13.975999999999999	L35	tumor	T0
D2_17.906_13.984	17.906	13.984000000000002	L36	non	non
D2_12.984_13.995	12.984000000000002	13.995	L37	tumor	T0
D2_12.032_14.012	12.032	14.012	L38	tumor	T0
D2_10.888_14.957	10.888	14.957	L39	tumor	T0
D2_21.893_14.943	21.893	14.943	L40	non	non
D2_19.972_14.941	19.972	14.940999999999999	L41	non	non
D2_20.878_14.943	20.878	14.943	L42	non	non
D2_18.906_14.95	18.906	14.95	L43	tumor	T0
D2_17.891_14.959	17.891	14.959000000000001	L44	non	non
D2_15.902_14.969	15.902000000000001	14.969000000000001	L45	tumor	T0
D2_16.883_14.97	16.883	14.97	L46	tumor	T0
D2_12.982_14.982	12.982000000000001	14.982000000000001	L47	tumor	T0
D2_14.956_14.983	14.956	14.982999999999999	L48	tumor	T0
D2_13.955_14.991	13.955	14.991	L49	tumor	T0
D2_12.029_15.008	12.029000000000002	15.008	L50	tumor	T0
D2_21.899_15.935	21.899	15.935	L51	non	non
D2_20.881_15.938	20.881	15.937999999999999	L52	non	non
D2_9.868_15.959	9.868	15.959000000000001	L53	tumor	T0
D2_10.874_15.972	10.874	15.972000000000001	L54	tumor	T0
D2_23.97_15.969	23.97	15.969000000000001	L55	tumor	T0
D2_17.898_15.973	17.898	15.972999999999999	L56	tumor	T0
D2_19.959_15.959	19.959	15.959000000000001	L57	non	non
D2_15.904_15.971	15.904000000000002	15.970999999999998	L58	tumor	T0
D2_18.891_15.98	18.891	15.98	L59	non	non
D2_12.993_15.991	12.993	15.991	L60	tumor	T0
D2_12.018_16.003	12.017999999999999	16.003	L61	tumor	T0
D2_14.953_15.994	14.953	15.994000000000002	L62	tumor	T0
D2_13.939_15.993	13.939	15.993	L63	tumor	T0
D2_16.882_15.992	16.882	15.992	L64	tumor	T0
D2_23.03_16.003	23.03	16.003	L65	non	non
D2_21.899_16.949	21.899	16.949	L66	non	non
D2_25.966_16.949	25.965999999999998	16.949	L67	tumor	T0
D2_24.968_16.963	24.968000000000004	16.963	L68	tumor	T0
D2_20.894_16.957	20.894000000000002	16.957	L69	non	non
D2_9.879_16.974	9.879	16.974	L70	tumor	T0
D2_10.898_16.985	10.898	16.985	L71	tumor	T0
D2_15.903_16.975	15.902999999999999	16.975	L72	tumor	T0
D2_8.965_16.979	8.965	16.979	L73	tumor	T0
D2_18.92_16.977	18.92	16.977	L74	tumor	T0
D2_19.97_16.976	19.97	16.976	L75	tumor	T0
D2_23.983_16.982	23.983	16.982	L76	tumor	T0
D2_13.003_16.993	13.003	16.993	L77	tumor	T0
D2_14.95_16.985	14.95	16.985	L78	tumor	T0
D2_17.906_16.988	17.906	16.988	L79	tumor	T0
D2_23.027_16.999	23.026999999999997	16.999000000000002	L80	tumor	T0
D2_16.886_16.999	16.886	16.999000000000002	L81	tumor	T0
D2_12.03_17.023	12.03	17.023	L82	tumor	T0
D2_13.972_17.012	13.972000000000001	17.012	L83	tumor	T0
