xcoord	xcoord	ycoord	lab	tumor	tumor_id
E2_12.026_7.042	12.026	7.042000000000001	L1	tumor	T0
E2_13.951_7.027	13.950999999999999	7.027	L2	tumor	T0
E2_12.995_7.034	12.995	7.034	L3	tumor	T0
E2_10.909_7.994	10.909	7.994	L4	non	non
E2_13.947_7.99	13.947000000000001	7.99	L5	tumor	T0
E2_13.002_8.009	13.002	8.009	L6	tumor	T0
E2_12.03_8.037	12.03	8.037	L7	tumor	T0
E2_10.908_8.958	10.908	8.958	L8	tumor	T0
E2_14.941_8.958	14.940999999999999	8.958	L9	tumor	T0
E2_13.94_8.963	13.94	8.963	L10	tumor	T0
E2_12.982_8.989	12.982000000000001	8.988999999999999	L11	tumor	T0
E2_12.052_9.025	12.052	9.025	L12	tumor	T0
E2_16.888_9.946	16.887999999999998	9.946	L13	non	non
E2_15.882_9.933	15.882	9.933	L14	non	non
E2_10.892_9.959	10.892000000000001	9.959	L15	tumor	T0
E2_14.959_9.944	14.959000000000001	9.943999999999999	L16	non	non
E2_13.943_9.966	13.943	9.966000000000001	L17	tumor	T0
E2_12.967_9.968	12.967	9.968	L18	tumor	T0
E2_12.028_10.023	12.027999999999999	10.023	L19	tumor	T0
E2_9.863_10.939	9.863	10.939	L20	tumor	T0
E2_17.909_10.942	17.909000000000002	10.942	L21	non	non
E2_13.954_10.956	13.954	10.956	L22	tumor	T0
E2_12.03_10.971	12.03	10.970999999999998	L23	tumor	T0
E2_12.971_10.963	12.970999999999998	10.963	L24	tumor	T0
E2_16.882_10.954	16.882	10.954	L25	non	non
E2_15.907_10.963	15.907	10.963	L26	non	non
E2_14.953_10.965	14.953	10.965	L27	tumor	T0
E2_18.909_11.929	18.909000000000002	11.929	L28	tumor	non
E2_9.888_11.94	9.888	11.94	L29	tumor	T0
E2_15.881_11.934	15.880999999999998	11.934000000000001	L30	non	non
E2_10.884_11.96	10.884	11.96	L31	tumor	T0
E2_14.958_11.94	14.958	11.94	L32	non	non
E2_13.962_11.956	13.962	11.956	L33	non	non
E2_12.912_11.953	12.912	11.953	L34	tumor	T0
E2_16.877_11.961	16.877	11.960999999999999	L35	non	non
E2_17.908_11.963	17.908	11.963	L36	non	non
E2_8.968_11.987	8.968	11.987	L37	tumor	T0
E2_12.014_11.998	12.014000000000001	11.998	L38	tumor	T0
E2_15.896_12.922	15.895999999999999	12.922	L39	non	non
E2_19.964_12.933	19.964000000000002	12.933	L40	non	non
E2_10.915_12.96	10.915	12.96	L41	tumor	T0
E2_16.864_12.942	16.864	12.942	L42	tumor	T0
E2_17.904_12.947	17.904	12.947000000000001	L43	non	non
E2_18.915_12.953	18.915	12.953	L44	non	non
E2_8.946_12.965	8.946	12.965	L45	tumor	T0
E2_14.942_12.956	14.942	12.956	L46	tumor	T0
E2_12.987_12.971	12.987	12.970999999999998	L47	tumor	T0
E2_13.951_12.979	13.950999999999999	12.979000000000001	L48	tumor	T0
E2_9.888_12.979	9.888	12.979000000000001	L49	tumor	T0
E2_12.031_13.004	12.030999999999999	13.004000000000001	L50	tumor	T0
E2_20.894_13.906	20.894000000000002	13.905999999999999	L51	non	non
E2_21.921_13.931	21.921	13.931	L52	tumor	T0
E2_9.886_13.937	9.886000000000001	13.937000000000001	L53	tumor	T0
E2_18.917_13.927	18.917	13.927	L54	non	non
E2_19.946_13.938	19.945999999999998	13.937999999999999	L55	non	non
E2_10.896_13.957	10.895999999999999	13.957	L56	tumor	T0
E2_15.893_13.937	15.892999999999999	13.937000000000001	L57	tumor	T0
E2_14.966_13.949	14.966	13.949000000000002	L58	tumor	T0
E2_23.021_13.959	23.021	13.959000000000001	L59	tumor	T0
E2_12.971_13.964	12.970999999999998	13.964	L60	tumor	T0
E2_23.974_13.955	23.974	13.955	L61	tumor	T0
E2_13.951_13.965	13.950999999999999	13.965	L62	tumor	T0
E2_16.885_13.965	16.885	13.965	L63	tumor	T0
E2_7.903_13.974	7.903	13.974	L64	tumor	T0
E2_17.903_13.965	17.903	13.965	L65	tumor	T0
E2_12.034_13.989	12.034	13.989	L66	tumor	T0
E2_8.963_13.98	8.963	13.98	L67	tumor	T0
E2_21.909_14.907	21.909000000000002	14.907	L68	tumor	T0
E2_20.906_14.924	20.906	14.924000000000001	L69	tumor	T0
E2_25.999_14.93	25.999000000000002	14.93	L70	tumor	T0
E2_9.884_14.951	9.884	14.950999999999999	L71	tumor	T0
E2_18.917_14.943	18.917	14.943	L72	tumor	T0
E2_8.982_14.945	8.982000000000001	14.945	L73	tumor	T0
E2_16.884_14.945	16.884	14.945	L74	tumor	T0
E2_15.889_14.954	15.889000000000001	14.954	L75	tumor	T0
E2_10.915_14.971	10.915	14.970999999999998	L76	tumor	T0
E2_17.901_14.955	17.901	14.955	L77	tumor	T0
E2_19.973_14.96	19.973	14.96	L78	tumor	T0
E2_24.96_14.957	24.96	14.957	L79	tumor	T0
E2_23.027_14.978	23.026999999999997	14.978	L80	tumor	T0
E2_14.956_14.97	14.956	14.97	L81	tumor	T0
E2_23.994_14.96	23.994	14.96	L82	tumor	T0
E2_7.911_14.971	7.9110000000000005	14.970999999999998	L83	tumor	T0
E2_12.988_14.975	12.988	14.975	L84	tumor	T0
E2_13.966_14.975	13.966	14.975	L85	tumor	T0
E2_12.044_15.002	12.044	15.002	L86	tumor	T0
E2_6.949_15	6.949	15.0	L87	tumor	T0
E2_21.941_15.942	21.941	15.942	L88	tumor	T0
E2_26.887_15.943	26.886999999999997	15.943	L89	tumor	T0
E2_10.909_15.958	10.909	15.958	L90	tumor	T0
E2_20.895_15.947	20.895	15.947000000000001	L91	tumor	T0
E2_17.912_15.946	17.912	15.946	L92	tumor	T0
E2_18.9_15.944	18.9	15.944	L93	tumor	T0
E2_26.003_15.958	26.003	15.958	L94	tumor	T0
E2_9.896_15.959	9.896	15.959000000000001	L95	tumor	T0
E2_19.966_15.958	19.965999999999998	15.958	L96	tumor	T0
E2_23.04_15.977	23.04	15.977	L97	tumor	T0
E2_24.966_15.964	24.965999999999998	15.964	L98	tumor	T0
E2_13.942_15.965	13.942	15.965	L99	tumor	T0
E2_14.962_15.969	14.962	15.969000000000001	L100	tumor	T0
E2_15.909_15.965	15.909	15.965	L101	tumor	T0
E2_7.915_15.973	7.915	15.972999999999999	L102	tumor	T0
E2_12.984_15.97	12.984000000000002	15.97	L103	tumor	T0
E2_23.987_15.98	23.987	15.98	L104	tumor	T0
E2_8.97_15.978	8.97	15.978	L105	tumor	T0
E2_6.916_15.995	6.916	15.995	L106	tumor	T0
E2_16.887_15.998	16.887	15.998	L107	tumor	T0
E2_12.032_16.022	12.032	16.022000000000002	L108	tumor	T0
E2_18.923_16.947	18.923	16.947	L109	tumor	T0
E2_20.902_16.946	20.901999999999997	16.945999999999998	L110	tumor	T0
E2_23.994_16.956	23.994	16.956	L111	tumor	T0
E2_19.96_16.948	19.96	16.948	L112	tumor	T0
E2_10.932_16.975	10.932	16.975	L113	tumor	T0
E2_23.026_16.967	23.026	16.967	L114	tumor	T0
E2_21.924_16.971	21.924	16.971	L115	tumor	T0
E2_9.877_16.962	9.877	16.962	L116	tumor	T0
E2_15.899_16.972	15.899000000000001	16.972	L117	tumor	T0
E2_24.961_16.971	24.961	16.971	L118	tumor	T0
E2_14.976_16.969	14.975999999999999	16.969	L119	tumor	T0
E2_17.919_16.983	17.919	16.983	L120	tumor	T0
E2_16.896_16.995	16.896	16.995	L121	tumor	T0
E2_13.983_17	13.982999999999999	17.0	L122	tumor	T0
E2_7.934_16.997	7.934	16.997	L123	tumor	T0
E2_12.995_17.004	12.995	17.004	L124	tumor	T0
E2_8.984_16.989	8.984	16.989	L125	tumor	T0
E2_12.045_17.012	12.045	17.012	L126	tumor	T0
E2_5.877_17.019	5.877000000000001	17.019000000000002	L127	tumor	T0
E2_6.893_17.043	6.893	17.043	L128	tumor	T0
E2_26.082_17.117	26.081999999999997	17.117	L129	tumor	T0
E2_20.889_17.925	20.889	17.925	L130	tumor	T0
E2_21.919_17.936	21.919	17.936	L131	tumor	T0
E2_19.984_17.947	19.984	17.947	L132	tumor	T0
E2_10.922_17.961	10.922	17.961	L133	tumor	T0
E2_9.893_17.955	9.892999999999999	17.955	L134	tumor	T0
E2_15.917_17.952	15.917	17.952	L135	tumor	T0
E2_25.005_17.981	25.005	17.980999999999998	L136	tumor	T0
E2_7.91_17.975	7.91	17.975	L137	tumor	T0
E2_23.043_17.978	23.043000000000003	17.977999999999998	L138	tumor	T0
E2_16.89_17.971	16.89	17.971	L139	tumor	T0
E2_18.919_17.975	18.919	17.975	L140	tumor	T0
E2_6.92_17.981	6.92	17.980999999999998	L141	tumor	T0
E2_8.944_17.976	8.943999999999999	17.976	L142	tumor	T0
E2_12.04_17.995	12.04	17.995	L143	tumor	T0
E2_12.995_17.983	12.995	17.983	L144	tumor	T0
E2_13.956_17.992	13.956	17.992	L145	tumor	T0
E2_24.009_17.991	24.009	17.991	L146	tumor	T0
E2_5.875_17.996	5.875	17.996	L147	tumor	T0
E2_14.975_18.006	14.975	18.006	L148	tumor	T0
E2_10.934_18.946	10.934000000000001	18.945999999999998	L149	tumor	T0
E2_20.918_18.941	20.918000000000003	18.941	L150	tumor	T0
E2_21.928_18.95	21.928	18.95	L151	tumor	T0
E2_18.914_18.945	18.914	18.945	L152	tumor	T0
E2_17.923_18.947	17.923	18.947	L153	tumor	T0
E2_19.974_18.957	19.974	18.957	L154	tumor	T0
E2_9.896_18.959	9.896	18.959	L155	tumor	T0
E2_6.918_18.973	6.917999999999999	18.973	L156	tumor	T0
E2_12.995_18.97	12.995	18.97	L157	tumor	T0
E2_7.918_18.967	7.917999999999999	18.967	L158	tumor	T0
E2_15.924_18.971	15.924000000000001	18.971	L159	tumor	T0
E2_8.956_18.979	8.956	18.979	L160	tumor	T0
E2_23.035_18.991	23.035	18.991	L161	tumor	T0
E2_24.981_18.975	24.980999999999998	18.975	L162	tumor	T0
E2_16.9_18.985	16.9	18.985	L163	tumor	T0
E2_5.88_18.986	5.88	18.986	L164	tumor	T0
E2_12.036_19.008	12.036	19.008	L165	tumor	T0
E2_13.971_18.988	13.970999999999998	18.988	L166	tumor	T0
E2_24.007_18.987	24.006999999999998	18.987000000000002	L167	tumor	T0
E2_14.984_19	14.984000000000002	19.0	L168	tumor	T0
E2_21.941_19.933	21.941	19.933	L169	tumor	T0
E2_20.92_19.938	20.92	19.938	L170	tumor	T0
E2_18.936_19.961	18.936	19.961	L171	tumor	T0
E2_24.012_19.97	24.011999999999997	19.97	L172	tumor	T0
E2_17.929_19.962	17.929000000000002	19.962	L173	tumor	T0
E2_19.974_19.973	19.974	19.973	L174	tumor	T0
E2_24.966_19.982	24.965999999999998	19.982	L175	tumor	T0
E2_9.887_19.976	9.887	19.976	L176	tumor	T0
E2_10.885_19.984	10.885	19.984	L177	tumor	T0
E2_16.898_19.974	16.898	19.974	L178	tumor	T0
E2_15.905_19.978	15.905	19.977999999999998	L179	tumor	T0
E2_14.991_19.992	14.991	19.992	L180	tumor	T0
E2_7.907_19.995	7.907	19.995	L181	tumor	T0
E2_23.06_20.004	23.06	20.004	L182	tumor	T0
E2_6.906_19.999	6.906000000000001	19.999000000000002	L183	tumor	T0
E2_13_20.015	13.0	20.015	L184	tumor	T0
E2_5.887_20.004	5.8870000000000005	20.004	L185	tumor	T0
E2_12.02_20.02	12.02	20.02	L186	tumor	T0
E2_13.969_20.005	13.969000000000001	20.005	L187	tumor	T0
E2_4.899_20.01	4.899	20.01	L188	tumor	T0
E2_8.965_20.021	8.965	20.021	L189	tumor	T0
