xcoord	xcoord	ycoord	lab	tumor	tumor_id
E2_9_7	9	7	L1	non	non
E2_11_7	11	7	L2	non	non
E2_10_7	10	7	L3	non	non
E2_8_7	8	7	L4	non	non
E2_14_7	14	7	L5	tumor	T0
E2_7_7	7	7	L6	non	non
E2_12_7	12	7	L7	tumor	T0
E2_13_7	13	7	L8	tumor	T0
E2_11_8	11	8	L9	non	non
E2_8_8	8	8	L10	non	non
E2_9_8	9	8	L11	non	non
E2_10_8	10	8	L12	non	non
E2_12_8	12	8	L13	tumor	T0
E2_16_8	16	8	L14	tumor	T0
E2_13_8	13	8	L15	tumor	T0
E2_14_8	14	8	L16	tumor	T0
E2_7_8	7	8	L17	non	non
E2_11_9	11	9	L18	non	non
E2_9_9	9	9	L19	non	non
E2_10_9	10	9	L20	non	non
E2_19_9	19	9	L21	tumor	T0
E2_8_9	8	9	L22	non	non
E2_14_9	14	9	L23	tumor	T0
E2_12_9	12	9	L24	non	non
E2_7_9	7	9	L25	non	non
E2_13_9	13	9	L26	tumor	T0
E2_18_9	18	9	L27	tumor	T0
E2_16_9	16	9	L28	tumor	T0
E2_17_9	17	9	L29	non	non
E2_15_9	15	9	L30	tumor	T0
E2_11_10	11	10	L31	non	non
E2_20_10	20	10	L32	non	non
E2_21_10	21	10	L33	non	non
E2_22_10	22	10	L34	tumor	T0
E2_19_10	19	10	L35	non	non
E2_10_10	10	10	L36	non	non
E2_14_10	14	10	L37	tumor	T0
E2_16_10	16	10	L38	tumor	T0
E2_8_10	8	10	L39	non	non
E2_12_10	12	10	L40	non	non
E2_17_10	17	10	L41	non	non
E2_9_10	9	10	L42	non	non
E2_7_10	7	10	L43	non	non
E2_15_10	15	10	L44	tumor	T0
E2_13_10	13	10	L45	non	non
E2_18_10	18	10	L46	tumor	T0
E2_22_11	22	11	L47	non	non
E2_21_11	21	11	L48	non	non
E2_20_11	20	11	L49	non	non
E2_19_11	19	11	L50	tumor	T0
E2_6_11	6	11	L51	non	non
E2_9_11	9	11	L52	non	non
E2_7_11	7	11	L53	non	non
E2_8_11	8	11	L54	non	non
E2_17_11	17	11	L55	non	non
E2_16_11	16	11	L56	non	non
E2_18_11	18	11	L57	non	non
E2_10_11	10	11	L58	non	non
E2_12_11	12	11	L59	non	non
E2_24_11	24	11	L60	tumor	T0
E2_13_11	13	11	L61	non	non
E2_14_11	14	11	L62	tumor	T0
E2_15_11	15	11	L63	tumor	T0
E2_23_11	23	11	L64	tumor	T0
E2_22_12	22	12	L65	non	non
E2_11_12	11	12	L66	non	non
E2_16_12	16	12	L67	non	non
E2_26_12	26	12	L68	tumor	T0
E2_20_12	20	12	L69	tumor	T0
E2_25_12	25	12	L70	non	non
E2_21_12	21	12	L71	non	non
E2_27_12	27	12	L72	tumor	T0
E2_9_12	9	12	L73	non	non
E2_8_12	8	12	L74	non	non
E2_10_12	10	12	L75	non	non
E2_24_12	24	12	L76	tumor	T0
E2_17_12	17	12	L77	non	non
E2_19_12	19	12	L78	tumor	T0
E2_7_12	7	12	L79	non	non
E2_18_12	18	12	L80	tumor	T0
E2_23_12	23	12	L81	non	non
E2_14_12	14	12	L82	non	non
E2_12_12	12	12	L83	non	non
E2_15_12	15	12	L84	non	non
E2_13_12	13	12	L85	non	non
E2_22_13	22	13	L86	tumor	T0
E2_11_13	11	13	L87	non	non
E2_19_13	19	13	L88	tumor	T0
E2_30_13	30	13	L89	tumor	T0
E2_27_13	27	13	L90	tumor	T0
E2_8_13	8	13	L91	non	non
E2_20_13	20	13	L92	non	non
E2_9_13	9	13	L93	non	non
E2_21_13	21	13	L94	tumor	T0
E2_25_13	25	13	L95	tumor	T0
E2_29_13	29	13	L96	tumor	T0
E2_16_13	16	13	L97	non	non
E2_10_13	10	13	L98	non	non
E2_26_13	26	13	L99	tumor	T0
E2_28_13	28	13	L100	tumor	T0
E2_7_13	7	13	L101	non	non
E2_17_13	17	13	L102	tumor	T0
E2_12_13	12	13	L103	non	non
E2_18_13	18	13	L104	tumor	T0
E2_23_13	23	13	L105	non	non
E2_24_13	24	13	L106	non	non
E2_14_13	14	13	L107	non	non
E2_13_13	13	13	L108	non	non
E2_15_13	15	13	L109	non	non
E2_22_14	22	14	L110	non	non
E2_20_14	20	14	L111	tumor	T0
E2_11_14	11	14	L112	non	non
E2_21_14	21	14	L113	non	non
E2_32_14	32	14	L114	tumor	T0
E2_30_14	30	14	L115	tumor	T0
E2_31_14	31	14	L116	tumor	T0
E2_9_14	9	14	L117	non	non
E2_19_14	19	14	L118	tumor	T0
E2_29_14	29	14	L119	tumor	T0
E2_10_14	10	14	L120	non	non
E2_14_14	14	14	L121	non	non
E2_27_14	27	14	L122	tumor	T0
E2_16_14	16	14	L123	non	non
E2_23_14	23	14	L124	non	non
E2_8_14	8	14	L125	non	non
E2_15_14	15	14	L126	non	non
E2_24_14	24	14	L127	non	non
E2_18_14	18	14	L128	tumor	T0
E2_7_14	7	14	L129	non	non
E2_12_14	12	14	L130	non	non
E2_13_14	13	14	L131	non	non
E2_28_14	28	14	L132	tumor	T0
E2_25_14	25	14	L133	non	non
E2_26_14	26	14	L134	tumor	T0
E2_11_15	11	15	L135	non	non
E2_22_15	22	15	L136	tumor	T0
E2_31_15	31	15	L137	tumor	T0
E2_27_15	27	15	L138	non	non
E2_32_15	32	15	L139	tumor	T0
E2_21_15	21	15	L140	tumor	T0
E2_29_15	29	15	L141	non	non
E2_30_15	30	15	L142	non	non
E2_9_15	9	15	L143	non	non
E2_19_15	19	15	L144	tumor	T0
E2_16_15	16	15	L145	non	non
E2_8_15	8	15	L146	non	non
E2_25_15	25	15	L147	non	non
E2_10_15	10	15	L148	non	non
E2_17_15	17	15	L149	non	non
E2_26_15	26	15	L150	non	non
E2_20_15	20	15	L151	tumor	T0
