xcoord	xcoord	ycoord	lab	tumor	tumor_id
C2_7_5	7	5	L1	tumor	T0
C2_6_5	6	5	L2	tumor	T0
C2_9_6	9	6	L3	tumor	T0
C2_5_6	5	6	L4	tumor	T0
C2_8_6	8	6	L5	tumor	T0
C2_7_6	7	6	L6	tumor	T0
C2_3_6	3	6	L7	tumor	T0
C2_6_6	6	6	L8	tumor	T0
C2_4_6	4	6	L9	tumor	T0
C2_2_6	2	6	L10	tumor	T0
C2_9_7	9	7	L11	tumor	T0
C2_10_7	10	7	L12	tumor	T0
C2_7_7	7	7	L13	tumor	T0
C2_11_7	11	7	L14	tumor	T0
C2_8_7	8	7	L15	tumor	T0
C2_4_7	4	7	L16	tumor	T0
C2_5_7	5	7	L17	tumor	T0
C2_3_7	3	7	L18	tumor	T0
C2_6_7	6	7	L19	tumor	T0
C2_2_7	2	7	L20	tumor	T0
C2_11_8	11	8	L21	tumor	T0
C2_5_8	5	8	L22	tumor	T0
C2_10_8	10	8	L23	tumor	T0
C2_8_8	8	8	L24	tumor	T0
C2_9_8	9	8	L25	tumor	T0
C2_6_8	6	8	L26	tumor	T0
C2_3_8	3	8	L27	tumor	T0
C2_12_8	12	8	L28	tumor	T0
C2_4_8	4	8	L29	tumor	T0
C2_7_8	7	8	L30	tumor	T0
C2_2_8	2	8	L31	tumor	T0
C2_10_9	10	9	L32	tumor	T0
C2_11_9	11	9	L33	tumor	T0
C2_9_9	9	9	L34	tumor	T0
C2_8_9	8	9	L35	tumor	T0
C2_5_9	5	9	L36	tumor	T0
C2_6_9	6	9	L37	tumor	T0
C2_7_9	7	9	L38	tumor	T0
C2_12_9	12	9	L39	tumor	T0
C2_3_9	3	9	L40	tumor	T0
C2_13_9	13	9	L41	tumor	T0
C2_4_9	4	9	L42	tumor	T0
C2_2_9	2	9	L43	tumor	T0
C2_11_10	11	10	L44	tumor	T0
C2_14_10	14	10	L45	tumor	T0
C2_10_10	10	10	L46	tumor	T0
C2_6_10	6	10	L47	tumor	T0
C2_7_10	7	10	L48	tumor	T0
C2_8_10	8	10	L49	tumor	T0
C2_9_10	9	10	L50	tumor	T0
C2_5_10	5	10	L51	tumor	T0
C2_3_10	3	10	L52	tumor	T0
C2_12_10	12	10	L53	non	non
C2_13_10	13	10	L54	tumor	T0
C2_4_10	4	10	L55	tumor	T0
C2_2_10	2	10	L56	tumor	T0
C2_9_11	9	11	L57	tumor	T0
